Time; Event Name; Button; Feedback; Target Path; Target Distance; Target Speed; Accuracy
1718,19; Button Pressed; Trigger; audio; Loop;6,48;1,5;39,61
1718,19; Target Shot;;;;;;
1718,703; Target destroyed;;;;;;
1719,717; Target respawned;;;;;;
1721,341; Before Click; Trigger; audio; Line;4,69;0,5;44,81
1721,341; Button Pressed; Trigger; audio; Line;4,69;0,5;44,81
1721,341; Target Shot;;;;;;
1721,842; Target destroyed;;;;;;
1722,843; Target respawned;;;;;;
1728,186; Before Click; Trigger; audio; Circle;9,52;2;64,94
1728,186; Button Pressed; Trigger; audio; Circle;9,52;2;64,94
1728,186; Target Shot;;;;;;
1728,699; Target destroyed;;;;;;
1729,7; Target respawned;;;;;;
1958,408; Before Click; Trigger; visual + haptic; Static;1,62;0;88,44
1958,408; Button Pressed; Trigger; visual + haptic; Static;1,62;0;88,44
1958,408; Target Shot;;;;;;
1958,909; Target destroyed;;;;;;
1959,924; Target respawned;;;;;;
1962,383; Before Click; Trigger; visual + haptic; Square;6,47;1;60,69
1962,383; Button Pressed; Trigger; visual + haptic; Square;6,47;1;60,69
1962,383; Target Shot;;;;;;
1962,896; Target destroyed;;;;;;
1963,896; Target respawned;;;;;;
1966,243; Before Click; Trigger; visual + haptic; Circle;7,98;2;2,75
1966,243; Button Pressed; Trigger; visual + haptic; Circle;7,98;2;2,75
1966,243; Target Shot;;;;;;
1966,756; Target destroyed;;;;;;
1967,756; Target respawned;;;;;;
1969,533; Before Click; Trigger; visual + haptic; Line;3,58;0,5;67,51
1969,533; Button Pressed; Trigger; visual + haptic; Line;3,58;0,5;67,51
1969,533; Target Shot;;;;;;
1970,047; Target destroyed;;;;;;
1971,06; Target respawned;;;;;;
1975,863; Before Click; Trigger; visual + haptic; Loop;7,77;1,5;43,3
1975,863; Button Pressed; Trigger; visual + haptic; Loop;7,77;1,5;43,3
1975,863; Target Shot;;;;;;
1976,376; Target destroyed;;;;;;
1977,39; Target respawned;;;;;;
2182,49; Before Click; Trigger; visual + haptic + audio; Square;5,9;1;78,66
2182,49; Button Pressed; Trigger; visual + haptic + audio; Square;5,9;1;78,66
2182,49; Target Shot;;;;;;
2183,003; Target destroyed;;;;;;
2184,004; Target respawned;;;;;;
2186,072; Before Click; Trigger; visual + haptic + audio; Line;3,83;-0,5;75,22
2186,072; Button Pressed; Trigger; visual + haptic + audio; Line;3,83;-0,5;75,22
2186,072; Target Shot;;;;;;
2186,586; Target destroyed;;;;;;
2187,587; Target respawned;;;;;;
2189,488; Before Click; Trigger; visual + haptic + audio; Circle;8,15;2;52,8
2189,488; Button Pressed; Trigger; visual + haptic + audio; Circle;8,15;2;52,8
2189,488; Target Shot;;;;;;
2189,988; Target destroyed;;;;;;
2190,989; Target respawned;;;;;;
2192,64; Before Click; Trigger; visual + haptic + audio; Static;1,64;0;99,5
2192,64; Button Pressed; Trigger; visual + haptic + audio; Static;1,64;0;99,5
2192,64; Target Shot;;;;;;
2193,153; Target destroyed;;;;;;
2194,155; Target respawned;;;;;;
2204,885; Before Click; Trigger; visual + haptic + audio; Loop;8,58;1,5;55,73
2204,885; Button Pressed; Trigger; visual + haptic + audio; Loop;8,58;1,5;55,73
2204,885; Target Shot;;;;;;
2205,399; Target destroyed;;;;;;
2206,399; Target respawned;;;;;;
2504,86; Before Click; Trigger; visual; Square;5,41;1;2,19
2504,86; Button Pressed; Trigger; visual; Square;5,41;1;78,13
2504,86; Target Shot;;;;;;
2505,374; Target destroyed;;;;;;
2506,374; Target respawned;;;;;;
2507,402; Before Click; Trigger; visual; Circle;8,17;2;78,13
2507,402; Button Pressed; Trigger; visual; Circle;8,17;2;47,87
2507,402; Target Shot;;;;;;
2507,915; Target destroyed;;;;;;
2508,928; Target respawned;;;;;;
2510,33; Before Click; Trigger; visual; Loop;6,99;1,5;47,87
2510,33; Button Pressed; Trigger; visual; Loop;6,99;1,5;2,69
2510,33; Target Shot;;;;;;
2510,83; Target destroyed;;;;;;
2511,842; Target respawned;;;;;;
2513,316; Before Click; Trigger; visual; Line;3,49;0,5;2,69
2513,316; Button Pressed; Trigger; visual; Line;3,49;0,5;59,29
2513,316; Target Shot;;;;;;
2513,829; Target destroyed;;;;;;
2514,843; Target respawned;;;;;;
2516,647; Before Click; Trigger; visual; Static;1,6;0;59,29
2516,647; Button Pressed; Trigger; visual; Static;1,6;0;95,13
2516,647; Target Shot;;;;;;
2517,147; Target destroyed;;;;;;
2518,161; Study End;;;;;;
2518,161; Target respawned;;;;;;
